"Final_EA_code","interview__id","Communal_Resource_id","s6eq01","s6eq02","s6eq03","s6eq04","s6eq05","s6eq06","s6eq07a","s6eq07b","s6eq07c","s6eq08a","s6eq08b","s6eq08c","s6eq09a","s6eq09b","s6eq09c","s6eq10","s6eq11","s6eq12","s6eq13","s6eq14"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",104,2,,,,,,,,,,,,,,,,,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",101,2,,,,,,,,,,,,,,,,,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",103,2,,,,,,,,,,,,,,,,,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",105,2,,,,,,,,,,,,,,,,,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",102,2,,,,,,,,,,,,,,,,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",104,2,,,,,,,,,,,,,,,,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",105,2,,,,,,,,,,,,,,,,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",103,2,,,,,,,,,,,,,,,,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",101,2,,,,,,,,,,,,,,,,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",102,2,,,,,,,,,,,,,,,,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",102,2,,,,,,,,,,,,,,,,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",104,2,,,,,,,,,,,,,,,,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",105,2,,,,,,,,,,,,,,,,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",103,2,,,,,,,,,,,,,,,,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",101,2,,,,,,,,,,,,,,,,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",103,2,,,,,,,,,,,,,,,,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",104,2,,,,,,,,,,,,,,,,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",105,2,,,,,,,,,,,,,,,,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",101,2,,,,,,,,,,,,,,,,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",102,2,,,,,,,,,,,,,,,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",103,,,,,,,,,,,,,,,,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",104,,,,,,,,,,,,,,,,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",101,,,,,,,,,,,,,,,,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",105,,,,,,,,,,,,,,,,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",102,,,,,,,,,,,,,,,,,,,,
"307202030201","09bfa283100c462d998e21c567116948",102,2,,,,,,,,,,,,,,,,,,,
"307202030201","09bfa283100c462d998e21c567116948",101,2,,,,,,,,,,,,,,,,,,,
"307202030201","09bfa283100c462d998e21c567116948",103,2,,,,,,,,,,,,,,,,,,,
"307202030201","09bfa283100c462d998e21c567116948",104,2,,,,,,,,,,,,,,,,,,,
"307202030201","09bfa283100c462d998e21c567116948",105,2,,,,,,,,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",105,2,,,,,,,,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",102,2,,,,,,,,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",104,2,,,,,,,,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",103,2,,,,,,,,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",101,2,,,,,,,,,,,,,,,,,,,
"117202080201","0b08b47250b441e9a1cef5e119453e39",102,2,,,,,,,,,,,,,,,,,,,
