"Final_EA_code","interview__id","School_leave_id","s3q34","s3q35a","s3q35b","s3q36a","s3q36b"
"405302030405","30fa92d582c34ffb8cd59644c7cc475f",3,2,,,,
"405302030405","30fa92d582c34ffb8cd59644c7cc475f",1,2,,,,
"405302030405","30fa92d582c34ffb8cd59644c7cc475f",2,2,,,,
"318116050101","312a435313e24061969eab79d4d65731",1,1,61,9,11,11
"318116050101","312a435313e24061969eab79d4d65731",2,2,,,,
"318116050101","312a435313e24061969eab79d4d65731",3,2,,,,
"110207040309","31a3f66b54524494a74c267e31e91d05",2,1,17,23,8,8
"110207040309","31a3f66b54524494a74c267e31e91d05",3,2,,,,
"110207040309","31a3f66b54524494a74c267e31e91d05",1,1,15,10,8,11
"218115040101","32bb43e6ccef425296ce50b454dcdcf2",2,2,,,,
"218115040101","32bb43e6ccef425296ce50b454dcdcf2",1,1,0,1,,4
"218115040101","32bb43e6ccef425296ce50b454dcdcf2",3,1,0,3,,4
"201206020507","333db34cb0974453b19b4d13bf2506ac",3,,,,,
"201206020507","333db34cb0974453b19b4d13bf2506ac",2,,,,,
"201206020507","333db34cb0974453b19b4d13bf2506ac",1,,,,,
"115103020402","34533291de9b4e30a46add0d31cb8f27",2,1,32,25,8,8
"115103020402","34533291de9b4e30a46add0d31cb8f27",3,1,20,38,8,8
"115103020402","34533291de9b4e30a46add0d31cb8f27",1,1,24,30,8,8
"226101010214","349edf6fc6cb49ddb9bfeb044f66c642",1,1,0,1,,9
"226101010214","349edf6fc6cb49ddb9bfeb044f66c642",3,1,0,1,,5
"226101010214","349edf6fc6cb49ddb9bfeb044f66c642",2,2,,,,
"302201050803","34efbcdf896549f7b8f690de4d3ebdf7",3,1,36,28,9,5
"302201050803","34efbcdf896549f7b8f690de4d3ebdf7",2,1,42,38,9,5
"302201050803","34efbcdf896549f7b8f690de4d3ebdf7",1,1,53,49,9,5
"409301030405","362ff1525f0b427ebc84612761e41586",1,,,,,
"409301030405","362ff1525f0b427ebc84612761e41586",3,,,,,
"409301030405","362ff1525f0b427ebc84612761e41586",2,,,,,
"302101021503","369a2e686b0641f08735d83c69d92007",2,1,30,40,9,9
"302101021503","369a2e686b0641f08735d83c69d92007",3,1,38,45,9,5
"302101021503","369a2e686b0641f08735d83c69d92007",1,1,20,35,9,5
"311202010102","37c7d386630e44f0b224b90b5746a370",3,2,,,,
"311202010102","37c7d386630e44f0b224b90b5746a370",2,1,12,16,96,5
"311202010102","37c7d386630e44f0b224b90b5746a370",1,1,8,10,96,5
"321107061709","391f45ad2d3548e1a27bd7652fb6719f",1,1,35,45,11,11
"321107061709","391f45ad2d3548e1a27bd7652fb6719f",3,1,20,30,11,8
"321107061709","391f45ad2d3548e1a27bd7652fb6719f",2,1,23,45,11,4
"113406060107","39627200a32c4626bb07b5c5e5a292e7",1,1,3,2,8,8
"113406060107","39627200a32c4626bb07b5c5e5a292e7",2,1,2,1,8,8
"113406060107","39627200a32c4626bb07b5c5e5a292e7",3,1,6,2,8,8
"230105010304","39e38a8716404f4f8588e28c28dbc0d7",3,1,3,1,9,11
"230105010304","39e38a8716404f4f8588e28c28dbc0d7",2,1,2,3,9,11
"230105010304","39e38a8716404f4f8588e28c28dbc0d7",1,1,4,1,8,9
"302205050202","3a542ba2ee9a46dcb7835e47f9c7612c",2,1,12,15,8,11
"302205050202","3a542ba2ee9a46dcb7835e47f9c7612c",3,1,10,13,8,8
"302205050202","3a542ba2ee9a46dcb7835e47f9c7612c",1,1,15,20,9,9
"404207040904","3ac09195350c451580bdcc430347f62d",2,1,23,27,8,8
"404207040904","3ac09195350c451580bdcc430347f62d",1,1,21,19,8,8
"404207040904","3ac09195350c451580bdcc430347f62d",3,1,19,33,8,8
"329106020616","3b3c7af2481243f894a3a0b95ecb924a",3,1,20,50,8,5
"329106020616","3b3c7af2481243f894a3a0b95ecb924a",2,1,15,40,8,9
"329106020616","3b3c7af2481243f894a3a0b95ecb924a",1,1,10,20,8,9
"325103060210","3ce08aeb981a41a5bc347d2a41198d4c",2,1,120,110,11,11
"325103060210","3ce08aeb981a41a5bc347d2a41198d4c",3,1,130,125,11,11
"325103060210","3ce08aeb981a41a5bc347d2a41198d4c",1,1,140,120,11,11
"211105030205","3cf0a1fa46ae46828806f8595135cb16",1,2,,,,
"211105030205","3cf0a1fa46ae46828806f8595135cb16",2,2,,,,
"211105030205","3cf0a1fa46ae46828806f8595135cb16",3,1,1,1,9,8
"204302051318","3d61703566614f43b422c80f897bc1e4",3,1,4,4,9,8
"204302051318","3d61703566614f43b422c80f897bc1e4",1,1,5,7,6,11
"204302051318","3d61703566614f43b422c80f897bc1e4",2,1,6,2,6,8
"223108100606","3f41cdc7f4484a90894f7afe2a53b89b",3,2,,,,
"223108100606","3f41cdc7f4484a90894f7afe2a53b89b",1,1,1,2,9,5
"223108100606","3f41cdc7f4484a90894f7afe2a53b89b",2,2,,,,
"104104030820","40927a9f8da44e0980c45b12154cbe6e",2,,,,,
"104104030820","40927a9f8da44e0980c45b12154cbe6e",1,,,,,
"104104030820","40927a9f8da44e0980c45b12154cbe6e",3,,,,,
"303405071314","41d507da42f24faaa7e7d79bf789ee25",2,1,104,141,9,9
"303405071314","41d507da42f24faaa7e7d79bf789ee25",1,2,,,,
"303405071314","41d507da42f24faaa7e7d79bf789ee25",3,1,141,123,9,9
"203301010111","44c8e8b546fa4e92b4e149105804a139",3,,,,,
"203301010111","44c8e8b546fa4e92b4e149105804a139",2,,,,,
"203301010111","44c8e8b546fa4e92b4e149105804a139",1,,,,,
"202205030602","4582b29c263744c49916b533238ce553",2,1,4,9,9,11
"202205030602","4582b29c263744c49916b533238ce553",3,1,2,5,9,11
"202205030602","4582b29c263744c49916b533238ce553",1,1,6,3,8,9
"229104021009","45e2495043be477d9602ba8645c8bf4a",2,,,,,
"229104021009","45e2495043be477d9602ba8645c8bf4a",1,,,,,
"229104021009","45e2495043be477d9602ba8645c8bf4a",3,,,,,
"411302020404","468987393fd44482ae5a32350511eae9",2,1,34,41,8,8
"411302020404","468987393fd44482ae5a32350511eae9",3,1,43,37,8,8
"411302020404","468987393fd44482ae5a32350511eae9",1,1,24,30,8,8
"412201070408","46bc8364e56f4e2ab24e7cb582ffa6f5",1,1,18,14,6,5
"412201070408","46bc8364e56f4e2ab24e7cb582ffa6f5",2,1,21,12,6,5
"412201070408","46bc8364e56f4e2ab24e7cb582ffa6f5",3,1,8,16,6,5
"405203030403","481f3d44d4074b55b71c4bd5c9624349",1,2,,,,
"405203030403","481f3d44d4074b55b71c4bd5c9624349",2,2,,,,
"405203030403","481f3d44d4074b55b71c4bd5c9624349",3,2,,,,
"124101050312","49123f99dd9b4867a7ae5242708194e8",2,,,,,
"124101050312","49123f99dd9b4867a7ae5242708194e8",1,,,,,
"124101050312","49123f99dd9b4867a7ae5242708194e8",3,,,,,
"317107051210","4936d20fd0be487bb99a45cce8212c35",1,1,150,100,9,5
"317107051210","4936d20fd0be487bb99a45cce8212c35",3,1,80,50,9,5
"317107051210","4936d20fd0be487bb99a45cce8212c35",2,1,100,80,9,8
"104208040401","49d2684cbd464eefb0be494729d22b00",2,1,20,30,8,8
"104208040401","49d2684cbd464eefb0be494729d22b00",1,1,10,15,8,8
"104208040401","49d2684cbd464eefb0be494729d22b00",3,1,10,10,8,8
"102103041252","4af38353df164c5899db4e345313f601",1,,,,,
"102103041252","4af38353df164c5899db4e345313f601",2,,,,,
"102103041252","4af38353df164c5899db4e345313f601",3,,,,,
"102102020513","4b07af9a7bac48378ebe933289a62249",1,,,,,
"102102020513","4b07af9a7bac48378ebe933289a62249",3,,,,,
"102102020513","4b07af9a7bac48378ebe933289a62249",2,,,,,
"306203010305","4b14fdfdc4154af5a1bcb1b438adbdae",2,1,316,233,11,11
"306203010305","4b14fdfdc4154af5a1bcb1b438adbdae",1,1,310,196,11,11
"306203010305","4b14fdfdc4154af5a1bcb1b438adbdae",3,,,,,
"201203010310","4dd40973252a4df3b81cc3878d136268",1,1,6,3,9,11
"201203010310","4dd40973252a4df3b81cc3878d136268",2,1,4,8,9,8
"201203010310","4dd40973252a4df3b81cc3878d136268",3,1,2,0,8,
"212305020404","4e6fd738620241a78230c9437484db77",3,1,0,2,,6
"212305020404","4e6fd738620241a78230c9437484db77",2,1,0,1,,9
"212305020404","4e6fd738620241a78230c9437484db77",1,2,,,,
"110305010603","50a0e9476f3f4947b4d66dd8a705c802",2,1,5,5,11,11
"110305010603","50a0e9476f3f4947b4d66dd8a705c802",1,1,2,2,8,8
"110305010603","50a0e9476f3f4947b4d66dd8a705c802",3,1,3,3,6,7
"317103020201","51986b54676d4e3085ac48d351aad29f",3,1,30,20,8,9
"317103020201","51986b54676d4e3085ac48d351aad29f",2,1,60,50,8,8
"317103020201","51986b54676d4e3085ac48d351aad29f",1,1,50,60,8,8
"417201010905","527a88628b1c4245adb71c4662a1af4e",1,,,,,
"417201010905","527a88628b1c4245adb71c4662a1af4e",2,,,,,
"417201010905","527a88628b1c4245adb71c4662a1af4e",3,,,,,
"403101020501","5300060198c04c3485bf13651c7b82d3",2,,,,,
"403101020501","5300060198c04c3485bf13651c7b82d3",1,,,,,
"403101020501","5300060198c04c3485bf13651c7b82d3",3,,,,,
"116102050101","53fa8063d7db4987a04f9cae08506685",3,1,5,5,6,6
"116102050101","53fa8063d7db4987a04f9cae08506685",2,1,8,5,8,8
"116102050101","53fa8063d7db4987a04f9cae08506685",1,1,5,5,96,96
"230109050511","54d04063673a4a7ab972f1199ab4e1ff",3,1,11,9,8,12
"230109050511","54d04063673a4a7ab972f1199ab4e1ff",2,1,6,8,8,4
"230109050511","54d04063673a4a7ab972f1199ab4e1ff",1,1,9,5,11,4
"115303050716","559f5482d2fa4c78972662ac4ceb915d",1,1,14,20,8,8
"115303050716","559f5482d2fa4c78972662ac4ceb915d",2,1,10,18,8,8
"115303050716","559f5482d2fa4c78972662ac4ceb915d",3,2,,,,
"418104030103","55b84b9565e64200bcc7eaa60d8418c4",3,1,27,13,8,8
"418104030103","55b84b9565e64200bcc7eaa60d8418c4",2,1,17,10,8,8
"418104030103","55b84b9565e64200bcc7eaa60d8418c4",1,1,21,14,8,8
"303405070316","56225232b3034646ba8e9436724fa544",2,,,,,
"303405070316","56225232b3034646ba8e9436724fa544",3,,,,,
"303405070316","56225232b3034646ba8e9436724fa544",1,,,,,
"323106040915","57061e3264f84996a2ba50e00b820c3d",1,1,130,240,9,9
"323106040915","57061e3264f84996a2ba50e00b820c3d",2,1,150,170,9,9
"323106040915","57061e3264f84996a2ba50e00b820c3d",3,1,110,150,9,9
"419204020202","58cf916082f84b129b54810c4162440b",1,,,,,
"419204020202","58cf916082f84b129b54810c4162440b",2,,,,,
"419204020202","58cf916082f84b129b54810c4162440b",3,,,,,
"414116010603","58d95fc307344244a2c14cfc7eea34f1",3,1,24,26,8,8
"414116010603","58d95fc307344244a2c14cfc7eea34f1",2,1,19,7,8,8
"414116010603","58d95fc307344244a2c14cfc7eea34f1",1,1,22,17,8,8
"102103050203","59accfcda4d542a2bc8fa95683519618",3,,,,,
"102103050203","59accfcda4d542a2bc8fa95683519618",2,,,,,
"102103050203","59accfcda4d542a2bc8fa95683519618",1,,,,,
"205101020309","5a30e64718014fc9811f7bd9dfe1c1d2",2,,,,,
"205101020309","5a30e64718014fc9811f7bd9dfe1c1d2",3,,,,,
"205101020309","5a30e64718014fc9811f7bd9dfe1c1d2",1,,,,,
"215109020818","5b2bb8ba8da5434697e179c32987259f",3,2,,,,
"215109020818","5b2bb8ba8da5434697e179c32987259f",2,2,,,,
"215109020818","5b2bb8ba8da5434697e179c32987259f",1,1,1,1,8,6
"112204030107","5b3c6ba74736462184fa8b7243f7bb77",1,,,,,
"112204030107","5b3c6ba74736462184fa8b7243f7bb77",3,,,,,
"112204030107","5b3c6ba74736462184fa8b7243f7bb77",2,,,,,
"409203050902","5c104965b50542969565c120c3357a43",2,2,,,,
"409203050902","5c104965b50542969565c120c3357a43",3,2,,,,
"409203050902","5c104965b50542969565c120c3357a43",1,2,,,,
"319107020203","5c166c1642f340b8ba41cf7b91388623",1,1,30,52,6,9
"319107020203","5c166c1642f340b8ba41cf7b91388623",2,1,30,44,6,8
"319107020203","5c166c1642f340b8ba41cf7b91388623",3,1,12,21,8,8
"214108010504","5ed8795ec990433f86ac9edf56960494",3,,,,,
"214108010504","5ed8795ec990433f86ac9edf56960494",2,,,,,
"214108010504","5ed8795ec990433f86ac9edf56960494",1,,,,,
"115104030401","5f625ed846014f17a798653d56908b5a",1,1,5,5,8,8
"115104030401","5f625ed846014f17a798653d56908b5a",2,1,5,5,8,8
"115104030401","5f625ed846014f17a798653d56908b5a",3,1,4,4,96,96
"303503041111","5f9671150b6c4d8d8f955faff27f799c",3,,,,,
"303503041111","5f9671150b6c4d8d8f955faff27f799c",2,,,,,
"303503041111","5f9671150b6c4d8d8f955faff27f799c",1,,,,,
"204301010302","5f9c806271044865a1c49ca22b9b1289",2,1,13,10,8,8
"204301010302","5f9c806271044865a1c49ca22b9b1289",1,1,6,11,8,8
"204301010302","5f9c806271044865a1c49ca22b9b1289",3,1,4,9,8,8
"302303070505","5fd0f31f330a49a79109ca76f86e31f4",1,1,7,5,11,5
"302303070505","5fd0f31f330a49a79109ca76f86e31f4",2,1,5,7,11,5
"302303070505","5fd0f31f330a49a79109ca76f86e31f4",3,1,6,4,9,5
