"Final_EA_code","interview__id","Community_groups_id","s6bq01","s6bq02","s6bq03","s6bq04","s6bq05"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",305,2,,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",307,1,1,2017,3,3
"410201010733","05a0fe0e9f714c0b84f108d501df571a",302,2,,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",310,2,,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",308,2,,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",309,2,,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",304,2,,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",303,2,,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",312,2,,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",311,2,,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",301,2,,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",306,1,2,2017,3,18
"410201010733","05a0fe0e9f714c0b84f108d501df571a",313,2,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",313,2,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",303,2,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",306,1,2,2012,1,30
"223121030202","05f078de3c20400bb66156c3a52d43ec",312,2,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",309,2,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",301,2,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",310,2,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",304,2,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",305,2,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",311,2,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",302,2,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",307,1,2,2013,1,5
"223121030202","05f078de3c20400bb66156c3a52d43ec",308,2,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",303,2,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",310,2,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",312,2,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",301,2,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",307,1,1,2012,2,6
"415114070301","07ae8f7297234aee97940f7561f48346",304,1,6,2010,1,40
"415114070301","07ae8f7297234aee97940f7561f48346",308,2,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",305,2,,,,
