"Final_EA_code","interview__id","s4jq90","s4jq91","s4jq92"
"212305020404","4e6fd738620241a78230c9437484db77",168,1,1
"110305010603","50a0e9476f3f4947b4d66dd8a705c802",53,2,
"317103020201","51986b54676d4e3085ac48d351aad29f",168,2,
"417201010905","527a88628b1c4245adb71c4662a1af4e",48,2,
"403101020501","5300060198c04c3485bf13651c7b82d3",,,
"116102050101","53fa8063d7db4987a04f9cae08506685",168,2,
"230109050511","54d04063673a4a7ab972f1199ab4e1ff",,,
"115303050716","559f5482d2fa4c78972662ac4ceb915d",168,2,
"418104030103","55b84b9565e64200bcc7eaa60d8418c4",40,2,
"303405070316","56225232b3034646ba8e9436724fa544",,,
"323106040915","57061e3264f84996a2ba50e00b820c3d",168,2,
"419204020202","58cf916082f84b129b54810c4162440b",168,2,
"414116010603","58d95fc307344244a2c14cfc7eea34f1",168,2,
"102103050203","59accfcda4d542a2bc8fa95683519618",,,
"205101020309","5a30e64718014fc9811f7bd9dfe1c1d2",,,
"215109020818","5b2bb8ba8da5434697e179c32987259f",168,1,6
"112204030107","5b3c6ba74736462184fa8b7243f7bb77",,,
"409203050902","5c104965b50542969565c120c3357a43",45,2,
"319107020203","5c166c1642f340b8ba41cf7b91388623",,,
"214108010504","5ed8795ec990433f86ac9edf56960494",,,
"115104030401","5f625ed846014f17a798653d56908b5a",168,2,
"303503041111","5f9671150b6c4d8d8f955faff27f799c",168,1,1
"204301010302","5f9c806271044865a1c49ca22b9b1289",,,
"302303070505","5fd0f31f330a49a79109ca76f86e31f4",,,
"110203060109","608bfd2bd5f84124be9fc9833b1caaac",168,2,
"405104020509","61dc08d3c51a46b88c52bb99d71911c2",45,2,
"212105040709","61e4b68c15e0457c9f6f2ff9180e9e7c",168,1,96
"115206030602","62af21468f5b4edb904b87aa88566ce0",60,2,
"211107030208","62f01c4bc6cf48c78a15d668e8e295ed",56,2,
"417109040205","63ef3bf75fef4be68830b107eef9b96e",,,
"226102050810","645e8f52e0284da1af7439cac3420432",47,2,
"412103070506","652892d80eef4dc886ac0f02c5e3747c",168,2,
"423110010602","6576b15a95a04314b4f24e9060ca7bcb",56,2,
"214102020611","6596c2921b4f49fcb7fa17cfa9d0786a",48,2,
"222111021102","65e342045671412cbeb3d4ecbb507b80",49,2,
"108301010115","663e019dae8f42e4aa5daaedc81619c0",168,2,
"320108080103","664e98a3af9c4657a4af8f3dfb526818",168,2,
"104105040311","67ac1b9b59384c0caead6c62332352cd",168,2,
"306201010103","67d77e0fbf754e25affd8ba11aa608d4",168,1,96
"215120020808","68984e8f107b4fcfbc983a0691df01bd",168,1,6
"112104021001","68b87f690c5e4d41b26440d4af920eff",168,2,
"203202030310","69fdbce170a34999b98ced8ce8ccb437",,,
"406210060603","6aac54099d5446c99029c48d21edbab1",56,2,
"418201020305","6be18dc7379a4d86ac204d6d08b614b7",168,1,96
"306204010301","6cb2e1bf1182402dbb626c64f4ba2cfb",168,2,
"318102020202","6d561d7e1bb34b0480b61373102428fd",,,
"411402020404","6d6546ea45a24ccf8284463ab31b6654",168,2,
"223120020410","6e7a08685b68404b86a3cfd6815d3824",,,
"214101060404","6ec8cecb648e4b6c974f20a8722affe1",,,
"103107020109","6fb3d5bdcb87496da47243e3711c1dc0",168,2,
"403301030215","712dd05dfdf54bc4ab5eb46fc55e1e5a",,,
"113113020418","73b6584e55df47ef8692caed8625a956",168,2,
"111202061528","73edb914e5ec4a6c937147490826972f",168,2,
"102103120844","74879a9428874965ae87feacedc0f2b4",,,
"314105010202","75df2b5c7d6b49258b3614c8243de9b7",112,1,3
"225103041522","76a347dba3c945d9a2e4aae06a3c0037",168,1,6
"412203040507","77b63a2a3a58466ca5b25c52c46907cb",45,2,
"106106060103","78b1f1144ce740d7ac6429052767b4a1",168,2,
"315105030209","7934cfadf18a4020840735d003867847",55,1,96
"113113060242","7a92a755edec4d6bae64f894ad5bc2f0",168,1,96
"415105020404","7af284e10f4046009386ca7cc0df56d7",45,2,
"122105020311","7b71511069ca41d7952c83c3004520f3",168,2,
"304204020110","7b91ac7196d446f7b7c4c92f86fbac42",168,2,
"204301030308","7ceaac984dc44338a95f7d19824a5621",43,1,6
"203202040303","7f25311583624b7487a569df466b24ac",,,
"407106021906","80c5e48699bc48b29bf11f38cdc04fc5",45,2,
"112102030202","81def38cfed24edd80e47b293c3bc0b9",168,1,96
"306204020605","81f2300746cc4b068c95f765f2b403ba",168,2,
"410101040507","824efbe20846431fba549104887331e5",48,2,
"102103050439","825a4d9c10674fb68ae9182bf65152ca",,,
"309104050403","82e2ee46332f4f5c854335056696f881",168,2,
"324101011403","865a0a2dd0d442a6aeb227dbd3367b05",,,
"117201050401","87d1a29404f24095af33c51ad6ddf04b",,,
"318114020701","8b2193d437e64893a12f1635d1aae2bd",84,2,
"211106070404","8c60b24c5d69459ab88587107842bf8a",64,2,
"406212010207","8da56015c708420985ff1484fc7d3201",45,1,6
"102102060108","8ed0e75643204d23b4513def2c5cc970",,,
"110206030911","8f69cfcd9bea4a2a9339fd61390606cf",168,2,
"105105020108","909b86e277fe480492fe605802d4b272",72,2,
"125105010702","91e89e7118c041fba1ad3f88cbbfb499",62,1,1
"226104040305","92722375ee7a4828bfbc6565b7a5e522",168,1,6
"311102010107","93268921598f4e95a6cbaa15387322f4",96,2,
"303202060606","942d21651db14547a1a55d163147f3be",168,1,96
"422102010506","94a28a335ad8409da18694d554dc6a82",45,2,
"224105051111","94ae3c15a2df427092546208e7da8501",49,2,
"210306040102","94d6a92de2aa41848c815b4f7ca810d6",168,2,
"410303060103","94e8fb8cab7846d5a723aa902f6d1e1e",,,
"124104040103","977cf8b59c214cd6806539e994d0a6d9",168,2,
"405211011114","9836e079cdd949e5afc70c7dcb3980c3",45,2,
"318103020406","987cf3a3f3f04a53b6295c44afed7cec",84,2,
"312105020216","989fa310b63545678cb56e3f009ee547",55,1,96
"124103021620","98c92ebc81274b48a478e3f3bdecc8d9",58,2,
"417202010210","98ff8b8f68354855b3a47628eb2e3b13",168,2,
"113301050411","991ea35afb8c4a5a91bded275d3a43cb",48,2,
"232203040502","9ae38f33171f4fb89797a28ed8c32b32",168,2,
"102105040650","9b29a92d675346708b3ed22f07d63387",,,
"111102010811","9c42c15316c04419af74c9404cb4c0f5",168,2,
"214101040303","9c877a6abcc44e259474046f89edb89f",,,
"102104190357","9ecbe56df9f249d3be5a6ba4df28dccc",,,
"327103030510","9ef24898f0e04e6f9f4c6561cca96f24",24,1,6
"214113010305","a03a17e845b8444b8e147d5e95b315f0",,,
"304301040405","a0525377534b48f0bb0d4c99d963fda6",168,2,
"204301020206","a221543631f54480bde0e51df15c6361",41,2,
"307108030908","a29bda3a56964baba85e14f3c2abf988",168,1,96
"321106010504","a3908ba3b92f4fef9ad80450371afeb4",168,2,
"102104163014","a4729f20438e49378506cba98596f46c",,,
"418202010203","a5e08a9b241643949baeb09fac3ee420",40,2,
"108301050512","a93651e6ad8d4de2af53d25e4a9fc082",168,2,
"322111041206","a9b092b3952f4ec082794dec24de21a1",168,2,
"310202030204","aeefbdde40724ba291ecf85534647db2",,,
"111202040320","b00970f7c1fd483599d25b5d7a2c0399",168,2,
"319203030409","b0b5ef4a81ee42299b12a7926ba93f4f",,,
"101204020501","b0cd107e76604c5c8367347965a11428",,,
"117302060527","b105a36a56b84f6ba66b7d1e2ffc388b",,,
"303402040806","b136b27d91194229a3d2dcf9252a325e",40,2,
"310306030909","b137ae14a69249ff994a536b0461599c",168,2,
"410201010654","b2e36352f5d9409abcd9ff6850c9a17f",168,2,
"120106010101","b330812745fa4e77a5f536a967849f73",,,
"309103050101","b341d8d46699459d85270dbbf9234423",24,2,
"324104010503","b4251f797f5f4785bc4d7bf83cf21cad",168,2,
"218103021305","b562c88957c5417886afa6977f5b2965",,,
"113301010130","b59699570a7a45afbefd3140dd85b87e",,,
"302204050508","b60db776f7044c0993c08a34296e7410",55,2,
"424105020201","b6beade8c2fb4ba7b72316080719a6ae",50,2,
"314101030304","b6c120c8e36f4d488a1d22da070a6a01",40,2,
"321105050214","b71b6b7c544e41fb929294eed370b7cf",168,2,
"110306010205","b92db033a86e4abbae72c6347c5b82c8",168,2,
"406201020310","bad2132fae8a42459b20c2aede01de05",45,1,6
"408102011215","bb6db2bb7e894ee6b96c81013a338db0",168,1,6
"209201010506","bb91dac00ca941ac91a0e1569d4a6dc8",168,1,1
"117301041137","bbb3f63e02a24e3db0e1e1e424e4a991",168,2,
"402210030714","bbd5aebfc1a54cf6826cbe7b44ec361d",168,2,
"420107040304","bcc6e03bb2a543348878ca4889658ee5",45,2,
"318112010303","bcf4623a365e43579a50ae7608a20bb4",56,2,
"221109020302","bfade52afbbe499582123960bdf484ad",168,2,
"325103060113","bfc868c5c5914281b9d9bd1182bec578",168,2,
"307108030304","c015bae305344f96818cc01ab60541c4",,,
"310306040802","c14a86da4ace4064b4410807ad90f8cc",40,2,
"210306040101","c1a22955cf934b9386559182a0c46c8d",168,2,
"432205040203","c208d41946924e27803193316fe645f0",50,2,
"124108021108","c2a083238ac94fc8a0b48e3330a8a611",,,
"107402030203","c33561448066434395fe6c8445631c87",50,2,
"321103040514","c40d2554992447aaab0c9ed075204836",168,2,
"311103020202","c5a985e708a74594a6c4522354013a9a",168,2,
"225114032604","c7bcab112852484b816748e5dc6c1d12",168,1,6
"426202040101","c997c4379310457193d2e4fec060d957",48,2,
"304102010107","c9f3e3b01148416390d788c451e83853",168,2,
"402208050714","ca4736d2f7a74a899d7997d614ac6c76",168,2,
"212202010105","caa6f80f888744d0aaaf2e19676dcd23",56,1,96
"228102030405","cbe3a418c67c4370af13683f11d44636",156,1,6
"408113040517","cc8047dc8a484aaa9836d72178b1780c",168,2,
"325107010301","cd1474d77fac421a97691e211fcbba4c",168,2,
"408112020621","ce05dd69d60e43e28966bf07a745ce3d",168,2,
"427202040214","ce31748c847d40a9ad2150a36c2438dc",45,2,
"103105050501","cedfce2c57e641d18f8cb9d9c783e6a3",,,
"102105150507","d091d72bf34743fa8b42d63d78c6c4d2",,,
"310306041001","d4b645c8dabe4a14801fbe211d9dac91",,,
"110204010703","d4e9ef0dc2b74bf38dcb92726ad41f5d",48,2,
"307108030708","d56d66a6c7584c298f2d3d3fa7389f35",,,
"122102060404","d63a27ac1a6d4af89a64a7cbcd3d4291",168,2,
"212104030611","d63ba4eb8a1c4a0e9cca5826e2affa7e",168,2,
"102102050406","d6aa486f005240b6b7cb24f89a40734e",,,
"323108030411","d7b1236aabb94f6bb30da9c00b33bf61",168,2,
"303504020504","d7df893335d04af7acb5f703066383af",168,2,
"403105050205","d84f5f9e3a694d3ea5d8c6bc57726b98",50,2,
"102103060631","d8e480e0083545f38d88e7ca1753924c",,,
"406303070608","d983e831143f41a08ffd423010b5dfa6",45,2,
"325101020514","da5e5ab5a00e480683eae461cba99b13",168,2,
"223126011515","da7a73e6a46542769c99839dcac87f10",168,1,6
"102103080303","db979bdcd2e148f98742974d2a4f9371",,,
"122106021812","dc1776a9a0e14f4582ec0425908ceea5",168,2,
"113111020505","dda5335ce205431184ce477ddbedbef7",59,2,
"106101010605","df04ee2c0e3a4107a7da27f23f41944b",168,2,
"208102140202","dfbc222d6117426abcbd121d0593bce5",12,1,96
"115303040507","e106494d0ae84f20a841ab351720b8aa",168,2,
"117106050206","e23a30e088d1453a8394085bff6af8dd",168,2,
"417107030404","e24222c61b9f4563830fe94cd944785c",45,2,
"406108040102","e282714b05cb42bf8b20fc75e0473960",45,2,
"107403060301","e3166e34b04d473eb589f6a033ae53d2",,,
"104102040606","e4d52a1c0a1148dc830cee53ef0df523",168,2,
"404403030304","e4ddc650064a4c0f89867f59f249801e",48,2,
"411203020101","e614b8ae67d44c8cbc5bf5aeccecc8f8",168,2,
"201210090210","e61b5559a1b4404bb4a22e8c657b33f1",,,
"309204060609","e6d0819875ec42e4b949ea30d57fb7e3",168,2,
"204101030213","e77d4f6292d24755b7b3c46d7261d6b2",,,
"330110010403","e86a2ea031ca4f9cb0b66693561736c8",168,2,
"124107010620","e8b86f9566254e76af1d7fe3ff8524a9",46,2,
"320102020601","e90883e236674997bdbad9acc116625f",,,
"420108030901","e9acfec9f50e43a884c4db8e14f80beb",56,2,
"102105030701","e9e027640d2a4506aec7a34b6c679073",,,
"319105080306","e9ee6e0d15b54db2b26857f7ed93a52b",168,1,2
"313102050501","eb8f3695097d4ec5a6d7c65858451483",168,2,
"303204050605","ebb0b322a786451d9ec7603dc6731c31",,,
"102104010236","ed628650c92d4517a20209c12a4e6606",42,1,6
"405301040904","ee245be814ce483aa8b66c3b2b0b6216",,,
"223135040509","ef0a2c1050d9446fa88afe6aaecd83fb",168,1,1
"108106030909","f11ff6935d374a37bd9267163c43ea0e",160,1,96
"428111030515","f2753e0a1ee1407cbf044f9bf4084302",60,2,
"219103120104","f310f9362b1e4295837d273e1b467904",168,2,
"223121010401","f4f37a3e35c44dc4924cadb9b8f38a0c",168,2,
"214114030515","f7c8666f68b24340884eb314238f39c2",,,
"415106081213","fa6d43e574104dbeaabc1c15d349f6b4",45,2,
"418209070214","fad0449bb4f0427aa9434d98c5e8ddf5",168,2,
"415110040403","fbdb75a9b0ab4f63b55032a65a48dc0f",45,1,6
"417102010602","fc8c4458e87f4d78814c817cd3bb82f9",45,1,6
"314103040301","fd96d6f934ab45739d166b07618b3031",24,2,
"207104010604","fe36e5eff69c4cb2959c1c44ea20f418",58,2,
"208107130101","ff38ebd77e0b421a8e2cc2c790ae9232",24,2,
"102103010916","ffc83c8361694f8081915379007bb634",,,
