"Final_EA_code","interview__id","community_needs_id","s6dq1","s6dq2","s6qd3","s6dqd4","s6dq5","s6dq6","s6dq7","s6dq08a","s6dq08b","s6dq08c","s6dq09","s6dq10","s6dq11","s6dq12a","s6dq12b","s6dq12c","s6dq13","s6dq14","s6dq15","s6dq16","s6dq17a","s6dq17b","s6dq17c","s6dq17d"
"307202030201","09bfa283100c462d998e21c567116948",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"307202030201","09bfa283100c462d998e21c567116948",110,1,1,1,,2,,,3,,,2,4,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",106,1,1,1,,1,1,1,4,5,,1,4,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",101,1,1,1,,1,1,2,4,,,1,1,2016,4,,,98,0,,2,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",104,2,1,1,,2,,,4,,,2,5,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",103,1,1,1,,2,,,4,,,2,5,,,,,,,,,,,,
"117202080201","0b08b47250b441e9a1cef5e119453e39",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"117202080201","0b08b47250b441e9a1cef5e119453e39",103,1,1,1,,2,,,4,,,2,5,,,,,,,,,,,,
