"Final_EA_code","interview__id","s1aq01b","s1aq02b","s1aq03b","s1aq04b","Batch"
"411302020404","468987393fd44482ae5a32350511eae9","411","3","2","2",946
"412201070408","46bc8364e56f4e2ab24e7cb582ffa6f5","412","2","1","7",961
"405203030403","481f3d44d4074b55b71c4bd5c9624349","405","2","3","3",866
"124101050312","49123f99dd9b4867a7ae5242708194e8","124","1","1","5",288
"317107051210","4936d20fd0be487bb99a45cce8212c35","317","1","7","5",703
"104208040401","49d2684cbd464eefb0be494729d22b00","104","2","8","4",81
"102103041252","4af38353df164c5899db4e345313f601","102","1","3","4",20
"102102020513","4b07af9a7bac48378ebe933289a62249","102","1","2","2",4
"306203010305","4b14fdfdc4154af5a1bcb1b438adbdae","306","2","3","1",618
"201203010310","4dd40973252a4df3b81cc3878d136268","201","2","3","1",323
"212305020404","4e6fd738620241a78230c9437484db77","212","3","5","2",422
"110305010603","50a0e9476f3f4947b4d66dd8a705c802","110","3","5","1",307
"317103020201","51986b54676d4e3085ac48d351aad29f","317","1","3","2",702
"417201010905","527a88628b1c4245adb71c4662a1af4e","417","2","1","1",1001
"403101020501","5300060198c04c3485bf13651c7b82d3","403","1","1","2",844
"116102050101","53fa8063d7db4987a04f9cae08506685","116","1","2","5",248
"230109050511","54d04063673a4a7ab972f1199ab4e1ff","230","1","9","5",508
"115303050716","559f5482d2fa4c78972662ac4ceb915d","115","3","3","5",246
"418104030103","55b84b9565e64200bcc7eaa60d8418c4","418","1","4","3",1010
"303405070316","56225232b3034646ba8e9436724fa544","303","4","5","7",570
"323106040915","57061e3264f84996a2ba50e00b820c3d","323","1","6","4",760
"419204020202","58cf916082f84b129b54810c4162440b","419","2","4","2",1035
"414116010603","58d95fc307344244a2c14cfc7eea34f1","414","1","16","1",971
"102103050203","59accfcda4d542a2bc8fa95683519618","102","1","3","5",24
"205101020309","5a30e64718014fc9811f7bd9dfe1c1d2","205","1","1","2",363
"215109020818","5b2bb8ba8da5434697e179c32987259f","215","1","9","2",443
"112204030107","5b3c6ba74736462184fa8b7243f7bb77","112","2","4","3",163
"409203050902","5c104965b50542969565c120c3357a43","409","2","3","5",904
"319107020203","5c166c1642f340b8ba41cf7b91388623","319","1","7","2",717
"214108010504","5ed8795ec990433f86ac9edf56960494","214","1","8","1",432
"115104030401","5f625ed846014f17a798653d56908b5a","115","1","4","3",229
"303503041111","5f9671150b6c4d8d8f955faff27f799c","303","5","3","4",580
"204301010302","5f9c806271044865a1c49ca22b9b1289","204","3","1","1",348
"302303070505","5fd0f31f330a49a79109ca76f86e31f4","302","3","3","7",538
"110203060109","608bfd2bd5f84124be9fc9833b1caaac","110","2","3","6",136
"405104020509","61dc08d3c51a46b88c52bb99d71911c2","405","1","4","2",1089
"212105040709","61e4b68c15e0457c9f6f2ff9180e9e7c","212","1","5","4",414
"115206030602","62af21468f5b4edb904b87aa88566ce0","115","2","6","3",239
"211107030208","62f01c4bc6cf48c78a15d668e8e295ed","211","1","7","3",408
"417109040205","63ef3bf75fef4be68830b107eef9b96e","417","1","9","4",997
"226102050810","645e8f52e0284da1af7439cac3420432","226","1","2","5",490
"412103070506","652892d80eef4dc886ac0f02c5e3747c","412","1","3","7",960
"423110010602","6576b15a95a04314b4f24e9060ca7bcb","423","1","10","1",1060
"214102020611","6596c2921b4f49fcb7fa17cfa9d0786a","214","1","2","2",431
"222111021102","65e342045671412cbeb3d4ecbb507b80","222","1","11","2",460
"108301010115","663e019dae8f42e4aa5daaedc81619c0","108","3","1","1",130
"320108080103","664e98a3af9c4657a4af8f3dfb526818","320","1","8","8",728
"104105040311","67ac1b9b59384c0caead6c62332352cd","104","1","5","4",79
"306201010103","67d77e0fbf754e25affd8ba11aa608d4","306","2","1","1",612
"215120020808","68984e8f107b4fcfbc983a0691df01bd","215","1","20","2",442
"112104021001","68b87f690c5e4d41b26440d4af920eff","112","1","4","2",158
"203202030310","69fdbce170a34999b98ced8ce8ccb437","203","2","2","3",337
"406210060603","6aac54099d5446c99029c48d21edbab1","406","2","10","6",884
"418201020305","6be18dc7379a4d86ac204d6d08b614b7","418","2","1","2",1011
"306204010301","6cb2e1bf1182402dbb626c64f4ba2cfb","306","2","4","1",619
"318102020202","6d561d7e1bb34b0480b61373102428fd","318","1","2","2",704
"411402020404","6d6546ea45a24ccf8284463ab31b6654","411","4","2","2",954
"223120020410","6e7a08685b68404b86a3cfd6815d3824","223","1","20","2",463
"214101060404","6ec8cecb648e4b6c974f20a8722affe1","214","1","1","6",430
"103107020109","6fb3d5bdcb87496da47243e3711c1dc0","103","1","7","2",68
"403301030215","712dd05dfdf54bc4ab5eb46fc55e1e5a","403","3","1","3",853
"113113020418","73b6584e55df47ef8692caed8625a956","113","1","13","2",188
"111202061528","73edb914e5ec4a6c937147490826972f","111","2","2","6",147
"102103120844","74879a9428874965ae87feacedc0f2b4","102","1","3","12",36
"314105010202","75df2b5c7d6b49258b3614c8243de9b7","314","1","5","1",688
"225103041522","76a347dba3c945d9a2e4aae06a3c0037","225","1","3","4",480
"412203040507","77b63a2a3a58466ca5b25c52c46907cb","412","2","3","4",963
"106106060103","78b1f1144ce740d7ac6429052767b4a1","106","1","6","6",102
"315105030209","7934cfadf18a4020840735d003867847","315","1","5","3",692
"113113060242","7a92a755edec4d6bae64f894ad5bc2f0","113","1","13","6",190
"415105020404","7af284e10f4046009386ca7cc0df56d7","415","1","5","2",975
"122105020311","7b71511069ca41d7952c83c3004520f3","122","1","5","2",278
"304204020110","7b91ac7196d446f7b7c4c92f86fbac42","304","2","4","2",600
"204301030308","7ceaac984dc44338a95f7d19824a5621","204","3","1","3",352
"203202040303","7f25311583624b7487a569df466b24ac","203","2","2","4",338
"407106021906","80c5e48699bc48b29bf11f38cdc04fc5","407","1","6","2",1080
"112102030202","81def38cfed24edd80e47b293c3bc0b9","112","1","2","3",156
"306204020605","81f2300746cc4b068c95f765f2b403ba","306","2","4","2",620
"410101040507","824efbe20846431fba549104887331e5","410","1","1","4",909
"102103050439","825a4d9c10674fb68ae9182bf65152ca","102","1","3","5",22
"309104050403","82e2ee46332f4f5c854335056696f881","309","1","4","5",650
"324101011403","865a0a2dd0d442a6aeb227dbd3367b05","324","1","1","1",765
"117201050401","87d1a29404f24095af33c51ad6ddf04b","117","2","1","5",254
"318114020701","8b2193d437e64893a12f1635d1aae2bd","318","1","14","2",709
"211106070404","8c60b24c5d69459ab88587107842bf8a","211","1","6","7",407
"406212010207","8da56015c708420985ff1484fc7d3201","406","2","12","1",885
"102102060108","8ed0e75643204d23b4513def2c5cc970","102","1","2","6",7
"110206030911","8f69cfcd9bea4a2a9339fd61390606cf","110","2","6","3",140
"105105020108","909b86e277fe480492fe605802d4b272","105","1","5","2",85
"125105010702","91e89e7118c041fba1ad3f88cbbfb499","125","1","5","1",303
"226104040305","92722375ee7a4828bfbc6565b7a5e522","226","1","4","4",492
"311102010107","93268921598f4e95a6cbaa15387322f4","311","1","2","1",666
"303202060606","942d21651db14547a1a55d163147f3be","303","2","2","6",546
"422102010506","94a28a335ad8409da18694d554dc6a82","422","1","2","1",1052
"224105051111","94ae3c15a2df427092546208e7da8501","224","1","5","5",479
"210306040102","94d6a92de2aa41848c815b4f7ca810d6","210","3","6","4",396
"410303060103","94e8fb8cab7846d5a723aa902f6d1e1e","410","3","3","6",933
"124104040103","977cf8b59c214cd6806539e994d0a6d9","124","1","4","4",295
"405211011114","9836e079cdd949e5afc70c7dcb3980c3","405","2","11","1",869
"318103020406","987cf3a3f3f04a53b6295c44afed7cec","318","1","3","2",705
"312105020216","989fa310b63545678cb56e3f009ee547","312","1","5","2",673
"124103021620","98c92ebc81274b48a478e3f3bdecc8d9","124","1","3","2",294
"417202010210","98ff8b8f68354855b3a47628eb2e3b13","417","2","2","1",1004
"113301050411","991ea35afb8c4a5a91bded275d3a43cb","113","3","1","5",198
"232203040502","9ae38f33171f4fb89797a28ed8c32b32","232","2","3","4",513
"102105040650","9b29a92d675346708b3ed22f07d63387","102","1","5","4",54
"111102010811","9c42c15316c04419af74c9404cb4c0f5","111","1","2","1",146
"214101040303","9c877a6abcc44e259474046f89edb89f","214","1","1","4",429
"102104190357","9ecbe56df9f249d3be5a6ba4df28dccc","102","1","4","19",46
"327103030510","9ef24898f0e04e6f9f4c6561cca96f24","327","1","3","3",792
"214113010305","a03a17e845b8444b8e147d5e95b315f0","214","1","13","1",435
"304301040405","a0525377534b48f0bb0d4c99d963fda6","304","3","1","4",1153
"204301020206","a221543631f54480bde0e51df15c6361","204","3","1","2",349
"307108030908","a29bda3a56964baba85e14f3c2abf988","307","1","8","3",634
"321106010504","a3908ba3b92f4fef9ad80450371afeb4","321","1","6","1",740
"102104163014","a4729f20438e49378506cba98596f46c","102","1","4","16",45
"418202010203","a5e08a9b241643949baeb09fac3ee420","418","2","2","1",1014
"108301050512","a93651e6ad8d4de2af53d25e4a9fc082","108","3","1","5",133
"322111041206","a9b092b3952f4ec082794dec24de21a1","322","1","11","4",755
"310202030204","aeefbdde40724ba291ecf85534647db2","310","2","2","3",657
"111202040320","b00970f7c1fd483599d25b5d7a2c0399","111","2","2","4",153
"319203030409","b0b5ef4a81ee42299b12a7926ba93f4f","319","2","3","3",723
"101204020501","b0cd107e76604c5c8367347965a11428","101","2","4","2",1
"117302060527","b105a36a56b84f6ba66b7d1e2ffc388b","117","3","2","6",265
"303402040806","b136b27d91194229a3d2dcf9252a325e","303","4","2","4",561
"310306030909","b137ae14a69249ff994a536b0461599c","310","3","6","3",663
"410201010654","b2e36352f5d9409abcd9ff6850c9a17f","410","2","1","1",919
"120106010101","b330812745fa4e77a5f536a967849f73","120","1","6","1",272
"309103050101","b341d8d46699459d85270dbbf9234423","309","1","3","5",651
"324104010503","b4251f797f5f4785bc4d7bf83cf21cad","324","1","4","1",765
"218103021305","b562c88957c5417886afa6977f5b2965","218","1","3","2",445
"113301010130","b59699570a7a45afbefd3140dd85b87e","113","3","1","1",194
"302204050508","b60db776f7044c0993c08a34296e7410","302","2","4","5",528
"424105020201","b6beade8c2fb4ba7b72316080719a6ae","424","1","5","2",1061
"314101030304","b6c120c8e36f4d488a1d22da070a6a01","314","1","1","3",682
"321105050214","b71b6b7c544e41fb929294eed370b7cf","321","1","5","5",
"110306010205","b92db033a86e4abbae72c6347c5b82c8","110","3","6","1",308
"406201020310","bad2132fae8a42459b20c2aede01de05","406","2","1","2",881
"408102011215","bb6db2bb7e894ee6b96c81013a338db0","408","1","2","1",894
"209201010506","bb91dac00ca941ac91a0e1569d4a6dc8","209","2","1","1",387
"117301041137","bbb3f63e02a24e3db0e1e1e424e4a991","117","3","1","4",260
"402210030714","bbd5aebfc1a54cf6826cbe7b44ec361d","402","2","10","3",832
"420107040304","bcc6e03bb2a543348878ca4889658ee5","420","1","7","4",1044
"318112010303","bcf4623a365e43579a50ae7608a20bb4","318","1","12","1",708
"221109020302","bfade52afbbe499582123960bdf484ad","221","1","9","2",455
"325103060113","bfc868c5c5914281b9d9bd1182bec578","325","1","3","6",773
"307108030304","c015bae305344f96818cc01ab60541c4","307","1","8","3",632
"310306040802","c14a86da4ace4064b4410807ad90f8cc","310","3","6","4",664
"210306040101","c1a22955cf934b9386559182a0c46c8d","210","3","6","4",395
"432205040203","c208d41946924e27803193316fe645f0","432","2","5","4",1095
"124108021108","c2a083238ac94fc8a0b48e3330a8a611","124","1","8","2",300
"107402030203","c33561448066434395fe6c8445631c87","107","4","2","3",110
"321103040514","c40d2554992447aaab0c9ed075204836","321","1","3","4",732
"311103020202","c5a985e708a74594a6c4522354013a9a","311","1","3","2",668
"225114032604","c7bcab112852484b816748e5dc6c1d12","225","1","14","3",481
"426202040101","c997c4379310457193d2e4fec060d957","426","2","2","4",1065
"304102010107","c9f3e3b01148416390d788c451e83853","304","1","2","1",588
"402208050714","ca4736d2f7a74a899d7997d614ac6c76","402","2","8","5",838
"212202010105","caa6f80f888744d0aaaf2e19676dcd23","212","2","2","1",417
"228102030405","cbe3a418c67c4370af13683f11d44636","228","1","2","3",500
"408113040517","cc8047dc8a484aaa9836d72178b1780c","408","1","13","4",900
"325107010301","cd1474d77fac421a97691e211fcbba4c","325","1","7","1",782
"408112020621","ce05dd69d60e43e28966bf07a745ce3d","408","1","12","2",899
"427202040214","ce31748c847d40a9ad2150a36c2438dc","427","2","2","4",1074
"103105050501","cedfce2c57e641d18f8cb9d9c783e6a3","103","1","5","5",66
"102105150507","d091d72bf34743fa8b42d63d78c6c4d2","102","1","5","15",63
"310306041001","d4b645c8dabe4a14801fbe211d9dac91","310","3","6","4",665
"110204010703","d4e9ef0dc2b74bf38dcb92726ad41f5d","110","2","4","1",137
"307108030708","d56d66a6c7584c298f2d3d3fa7389f35","307","1","8","3",634
"122102060404","d63a27ac1a6d4af89a64a7cbcd3d4291","122","1","2","6",274
"212104030611","d63ba4eb8a1c4a0e9cca5826e2affa7e","212","1","4","3",412
"102102050406","d6aa486f005240b6b7cb24f89a40734e","102","1","2","5",6
"323108030411","d7b1236aabb94f6bb30da9c00b33bf61","323","1","8","3",764
"303504020504","d7df893335d04af7acb5f703066383af","303","5","4","2",583
"403105050205","d84f5f9e3a694d3ea5d8c6bc57726b98","403","1","5","5",851
"102103060631","d8e480e0083545f38d88e7ca1753924c","102","1","3","6",26
"406303070608","d983e831143f41a08ffd423010b5dfa6","406","3","3","7",888
"325101020514","da5e5ab5a00e480683eae461cba99b13","325","1","1","2",766
"223126011515","da7a73e6a46542769c99839dcac87f10","223","1","26","1",472
"102103080303","db979bdcd2e148f98742974d2a4f9371","102","1","3","8",31
"122106021812","dc1776a9a0e14f4582ec0425908ceea5","122","1","6","2",283
"113111020505","dda5335ce205431184ce477ddbedbef7","113","1","11","2",176
"106101010605","df04ee2c0e3a4107a7da27f23f41944b","106","1","1","1",91
"208102140202","dfbc222d6117426abcbd121d0593bce5","208","1","2","14",375
"115303040507","e106494d0ae84f20a841ab351720b8aa","115","3","3","4",244
"117106050206","e23a30e088d1453a8394085bff6af8dd","117","1","6","5",253
"417107030404","e24222c61b9f4563830fe94cd944785c","417","1","7","3",993
"406108040102","e282714b05cb42bf8b20fc75e0473960","406","1","8","4",878
"107403060301","e3166e34b04d473eb589f6a033ae53d2","107","4","3","6",114
"104102040606","e4d52a1c0a1148dc830cee53ef0df523","104","1","2","4",73
"404403030304","e4ddc650064a4c0f89867f59f249801e","404","4","3","3",1086
"411203020101","e614b8ae67d44c8cbc5bf5aeccecc8f8","411","2","3","2",943
"201210090210","e61b5559a1b4404bb4a22e8c657b33f1","201","2","10","9",330
"309204060609","e6d0819875ec42e4b949ea30d57fb7e3","309","2","4","6",653
"204101030213","e77d4f6292d24755b7b3c46d7261d6b2","204","1","1","3",343
"330110010403","e86a2ea031ca4f9cb0b66693561736c8","330","1","10","1",812
"124107010620","e8b86f9566254e76af1d7fe3ff8524a9","124","1","7","1",299
"320102020601","e90883e236674997bdbad9acc116625f","320","1","2","2",725
"420108030901","e9acfec9f50e43a884c4db8e14f80beb","420","1","8","3",1048
"102105030701","e9e027640d2a4506aec7a34b6c679073","102","1","5","3",51
"319105080306","e9ee6e0d15b54db2b26857f7ed93a52b","319","1","5","8",713
"313102050501","eb8f3695097d4ec5a6d7c65858451483","313","1","2","5",676
"303204050605","ebb0b322a786451d9ec7603dc6731c31","303","2","4","5",548
"102104010236","ed628650c92d4517a20209c12a4e6606","102","1","4","1",37
"405301040904","ee245be814ce483aa8b66c3b2b0b6216","405","3","1","4",873
"223135040509","ef0a2c1050d9446fa88afe6aaecd83fb","223","1","35","4",465
"108106030909","f11ff6935d374a37bd9267163c43ea0e","108","1","6","3",119
"428111030515","f2753e0a1ee1407cbf044f9bf4084302","428","1","11","3",1082
"219103120104","f310f9362b1e4295837d273e1b467904","219","1","3","12",453
"223121010401","f4f37a3e35c44dc4924cadb9b8f38a0c","223","1","21","1",464
"214114030515","f7c8666f68b24340884eb314238f39c2","214","1","14","3",436
"415106081213","fa6d43e574104dbeaabc1c15d349f6b4","415","1","6","8",976
"418209070214","fad0449bb4f0427aa9434d98c5e8ddf5","418","2","9","7",1020
"415110040403","fbdb75a9b0ab4f63b55032a65a48dc0f","415","1","10","4",977
"417102010602","fc8c4458e87f4d78814c817cd3bb82f9","417","1","2","1",984
"314103040301","fd96d6f934ab45739d166b07618b3031","314","1","3","4",685
"207104010604","fe36e5eff69c4cb2959c1c44ea20f418","207","1","4","1",369
"208107130101","ff38ebd77e0b421a8e2cc2c790ae9232","208","1","7","13",379
"102103010916","ffc83c8361694f8081915379007bb634","102","1","3","1",17
