"hhid","parcelID","a2aq1owned","s2aq5_1","s2aq03_1a","s2aq4","s2aq5","s2aq6","s2aq7","s2aq8","s2aq9","s2aq10","s2aq11a","s2aq11b","a2bq12a_1","a2bq12b_1","s2aq14","s2aq15a","s2aq15b","a2aq28","a2aq29a","a2aq29b","a2aq18","s2aq20","s2aq21","s2aq22a","s2aq22b","s2aq23","a2aq31","s2aq26__0","s2aq26__1","a2aq32","a2aq33a","a2aq33b","a2aq33c","s2aq24__0","s2aq24__1","s2aq27__0","s2aq27__1","a2aq34","a2aq25","a2aq35","a2aq36","a2aq37","a2aq38","a2aq39"
"0182fc7b5eb44c44aef16c3a178fb762",1,1,1,3,,0.25,2,4,2,999,1,5,5,3,3,,,,2,,,2,1,2,6,,4,,,,2,,,,1,,1,,2,2,2,,1,,500000
"0182fc7b5eb44c44aef16c3a178fb762",2,1,1,3,1,0.75,1,4,2,999,1,1,1,,,,25,25,1,1,,2,2,,,,4,,,,2,,,,1,,1,,2,2,2,,1,,2500000
"018d29620fa44db282c80b6627413e5c",1,1,1,1,,2,6,4,4,999,1,96,1,,,,,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,6,2,2,,1,,1000000
"0192cb54d502450ca603738439bf616f",1,1,8,1,,0.25,3,4,2,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,1,2,,,1,,1,,1,2,2,,1,,6000000
"0192cb54d502450ca603738439bf616f",2,1,1,3,,0.75,1,4,2,999,2,2,2,,,,60,60,1,1,2,2,2,,,,4,,,,2,,,,1,,1,,6,2,2,,1,,3000000
"0192cb54d502450ca603738439bf616f",3,1,8,1,,0.5,1,4,1,999,1,2,2,,,,80,80,2,,,2,2,,,,4,,,,1,2,,,1,,1,,6,2,2,,1,,6000000
"0197cec68e9246a887cae30b13bc7488",1,1,1,,,0.5,3,4,2,2007,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,2,2,2,,1,,600000
"019f06d347d04d5fa22f1846aba0c59b",1,1,5,1,0.46,0.5,1,1,2,999,2,2,2,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,4000000
"019f06d347d04d5fa22f1846aba0c59b",3,1,5,1,1.81,2,1,1,2,999,2,2,2,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,5,2,2,,2,2,15000000
"019f06d347d04d5fa22f1846aba0c59b",4,1,5,3,1,0.9,1,1,2,999,2,2,2,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,10000000
"01d0f651c2534a1f8355b9e10e0e9dcb",1,1,1,1,1.25,2.5,1,1,2,999,1,1,1,,,,70,70,1,1,,2,2,,,,4,,,,1,96,,,1,,1,,6,1,2,,1,,8000000
"01d54a65224747fba33cf7b310c7435e",1,1,2,1,,94,1,3,2,999,1,6,6,,,,,,2,,,2,2,,,,4,,,,1,5,,,1,2,1,2,2,2,2,,1,,270000000
"01d54a65224747fba33cf7b310c7435e",2,1,2,1,,4,2,3,2,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,1,5,,,1,2,1,2,2,2,2,,1,,12000000
"02087846085249d1ae73a1070233c8bb",2,1,1,3,,0.25,1,1,2,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,1,2,2,,1,,2000000
"0222b766ba3d494fbf6fe07cf260dac4",1,1,2,3,,6,1,4,1,999,1,1,1,,,,92,71,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,7200000
"0222b766ba3d494fbf6fe07cf260dac4",2,1,1,1,,10,1,4,2,999,1,1,1,,,,60,70,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,3600000
"024172552bc54600b13887149d11e82c",1,1,1,1,,0.25,3,1,8,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,1,96,,,,,1,,1,2,2,,1,,800000
"02449af9963842c8b8f615b2232735b1",2,1,1,1,0.18,0.2,1,3,2,999,1,2,2,,,,100,100,2,,,2,1,2,1,6,4,,,,1,3,,,1,,1,,2,1,1,3,5,3,5000000
"02449af9963842c8b8f615b2232735b1",3,1,1,3,,1,3,3,1,999,1,2,2,,,,100,100,2,,,2,1,2,1,6,4,,,,1,3,,,1,,1,,2,1,1,3,5,3,10000000
"025b88ecba4a44279935bd4a0d19bccd",1,1,1,3,1.53,2,1,4,2,999,1,1,1,,,,65,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,2,2,2,,1,,2500000
"025b88ecba4a44279935bd4a0d19bccd",2,1,1,3,0.93,1,1,4,2,999,2,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,2,2,2,,1,,2000000
"02868c7da57e46529281d2dae35ee7fd",3,1,1,1,,1,1,4,2,999,1,1,1,,,,50,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,6,2,2,,1,,2000000
"02b20908f47043f0b2389ba8246c5bdc",1,1,2,1,,1,4,4,2,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,700000
"02b20908f47043f0b2389ba8246c5bdc",2,1,2,3,,1.5,4,4,2,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,2,2,2,,1,,1500000
"02efd503602d4d10a508075b811e5913",2,1,1,1,1.2,1,1,1,2,999,1,1,1,,,,98,60,1,1,,2,2,,,,4,,,,1,1,,,4,,4,,2,2,2,,1,,15000000
"02fbc725a3074d0fa9debb7a02ba23fb",1,1,2,3,0.2,0.5,1,1,2,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,1,2,2,,1,,1000000
"03003a6f1ccd4b1290629662229b5d83",1,1,2,3,,1,1,4,1,999,1,1,1,,,,85,80,1,1,,2,2,,,,4,,,,2,,,,2,,2,,1,2,2,,1,,30000000
"03003a6f1ccd4b1290629662229b5d83",2,1,2,3,,150,6,4,4,999,1,5,5,3,3,,,,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,6,2,2,,1,,105000000
"032de3aed1c34dd5840aba975a5a4468",1,1,1,1,,0.5,2,4,2,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,6,2,2,,1,,5000000
"032de3aed1c34dd5840aba975a5a4468",3,1,1,1,,0.25,2,4,2,999,1,96,1,,,,,100,2,,,3,2,,,,4,,,,2,,,,1,,1,,6,2,2,,1,,1000000
"034a672611304ed3a91b8a062f4d4046",1,1,1,1,,3,1,4,1,999,1,1,1,,,,67,36,2,,,2,2,,,,4,,,,1,3,,,1,,1,,5,2,2,,1,,10000000
"034a672611304ed3a91b8a062f4d4046",3,1,1,3,,1.5,3,4,1,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,1,3,,,1,,1,,5,2,2,,1,,8000000
"0368af34cb614bae9ef98c927741984d",1,1,1,1,,4,3,1,1,999,1,1,1,,,,50,50,2,,,2,2,,,,4,,,,1,3,,,1,,1,,2,2,2,,1,,12000000
