"hhid","parcelID","t0_hhid","s2aq05_1","s2aq03_3","a2bq1owned","s2aq03_1","s2aq04","s2aq05","s2aq06","s2aq07","s2aq08","a2bq09","a2bq10","a2bq11","a2bq12a","a2bq12b","a2bq12a_1","a2bq12b_1","a2aq18","s2aq20","s2aq21","s2aq22a","s2aq22b"
"0aaa3c3864af4ed5976f59eea475f982",1,"H2201",1,1,2,3,,0.35,4,4,8,50000,1,2,1,1,,,2,2,,,
"0ab0754b5398494b863f05891f237892",2,"H1776",2,1,2,1,,1,2,4,8,40000,2,2,1,5,,1,2,2,,,
"0ab0754b5398494b863f05891f237892",8,"H1776",2,1,2,1,,2,4,4,8,150000,0,1,5,1,2,,2,2,,,
"0ab0754b5398494b863f05891f237892",9,"H1776",1,1,2,1,,1.5,3,4,8,40000,1,1,1,5,,1,2,2,,,
"0ab702b9c7c04f3786e3af7ff5949cc1",1,"H0589",1,1,2,1,,1,1,1,9,,14,2,1,1,,,2,2,,,
"0ab702b9c7c04f3786e3af7ff5949cc1",2,"H0589",1,1,2,1,,1.5,1,1,2,,14,2,1,1,,,2,2,,,
"0ab702b9c7c04f3786e3af7ff5949cc1",3,"H0589",1,1,2,1,,1,1,1,8,0,7,2,1,1,,,2,2,,,
"0b3b982602d04173ad3b1e70959cbfd3",1,"H0746",1,1,2,3,,0.5,2,1,8,0,5,2,1,5,,3,2,2,,,
"0b3b982602d04173ad3b1e70959cbfd3",2,"H0746",1,1,2,3,,1.5,1,1,8,0,6,2,2,2,,,2,2,,,
"0ba00f819c6a456f90b6b9ddca903379",1,"H3240",1,1,2,1,,0.75,3,4,8,100000,2,2,1,1,,,2,2,,,
"0ba00f819c6a456f90b6b9ddca903379",2,"H3240",1,1,2,1,,0.5,3,1,8,50000,1,2,1,96,,,2,2,,,
"0ba4bc0924e449f6b395dae115acc723",1,"H1736",1,1,2,3,,0.25,2,4,9,,2012,2,1,1,,,2,2,,,
"0bcc7f6fcdc64e7f925c80713a7d5db4",1,"H2047",1,1,2,1,,1,2,4,9,,2,1,5,2,3,,2,2,,,
"0c0509871b5f4941aac4d7f09d0451bf",1,"H0217",1,1,2,1,,1.5,2,1,8,80000,3,1,2,2,,,2,2,,,
"0c22a7dbc0cb4cbea89c01a94b82c7e1",1,"H2393",4,1,2,3,,3,1,4,8,120000,4,2,1,1,,,2,2,,,
"0c22a7dbc0cb4cbea89c01a94b82c7e1",2,"H2393",4,1,2,3,,1,2,4,8,0,4,2,1,1,,,3,2,,,
"0c22a7dbc0cb4cbea89c01a94b82c7e1",3,"H2393",4,1,2,3,,2,2,4,8,0,5,2,5,1,3,,2,2,,,
"0c22a7dbc0cb4cbea89c01a94b82c7e1",4,"H2393",4,1,2,3,,2,2,4,8,0,7,2,5,1,3,,3,2,,,
"0c22a7dbc0cb4cbea89c01a94b82c7e1",5,"H2393",4,1,2,3,,1,2,4,9,,5,2,5,5,3,3,2,2,,,
"0c22a7dbc0cb4cbea89c01a94b82c7e1",6,"H2393",4,1,2,3,,0.5,2,4,8,0,3,2,5,1,3,,2,2,,,
"0c4a4cf0e7ea4067b33aaa955c36715f",2,"H1275",2,3,2,,,0.5,1,4,9,,0,1,6,2,,,2,2,,,
