"hhid","parcelID","pltid","s3aq03b","s3bq03_1","s2aq05_211_1","s2aq04_1_1","s3bq03_2","s3bq03_3","s3bq03_4a","s3bq03_4b","s3bq03a","s3bq04","s3bq04a","s3bq05","s3bq06","s3bq07","s3bq08","s3bq09","s3bq12","s3bq13","s3bq14","s3bq13a","s3bq15","s3bq16","s3bq17","s3bq18","s3bq19","s3bq22","s3bq23","s3bq24a","s3bq24b","s3bq25","s3bq26","s3bq27","s3bq28","s3bq34","s3bq35a","s3bq35b","s3bq35c","s3bq36","s4bq07"
"7b6b56a02049487d8eaf24fd9392a0d2",1,4,"millet",1,1,0.38,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.38
"7b6b56a02049487d8eaf24fd9392a0d2",1,3,"sweet potatoes",1,1,1.62,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1.62
"7b6b56a02049487d8eaf24fd9392a0d2",1,1,"Maize",1,1,1.92,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1.92
"7bbb94753b1044a1998b35c4ec0b29c5",1,1,"MATOOKE",2,1,1.65,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1.65
"7bbb94753b1044a1998b35c4ec0b29c5",1,3,"COFFEE",2,1,0.18,1,2,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.11
"7bbb94753b1044a1998b35c4ec0b29c5",1,2,"BEANS",2,1,0.25,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.21
"7be52d943c5048959c66f344c364618d",1,1,"AMAIDO",1,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,1,1,2,1,1,1,5000,2,1,2,2,0,50000,3
"7bf504f6876545639e755c4ff1619b1f",1,2,"maize",2,1,5.3,1,1,,,2,1,1,900,2,,,,2,2,,,,,,,,1,4,2,20,1,20,200000,2,1,30,0,0,300000,5.3
"7c12e0ea1d4e4715b33ca829365fc859",3,1,"GROUNDNUTS",3,1,0.52,2,,3,,1,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.52
"7c3571bb48c1453ba75e1aaadf1e1a3c",2,1,"BEANS AND MAIZE PLOT",2,2,,1,2,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"7c569b785e874befb2b1fa6bc2d09584",1,1,"1.SORGHUM",4,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1
"7c569b785e874befb2b1fa6bc2d09584",3,1,"1.SORGHUM",4,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"7c7115928f384b168929bfd6dd4c511b",2,1,"sweet potatoes",4,2,,2,,2,4,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.3
"7c7115928f384b168929bfd6dd4c511b",2,2,"maize",4,2,,2,,2,4,2,2,,,,,,,,2,,,,,,,,1,4,2,2,1,1,5000,2,1,0,5,0,30000,0.7
"7c9c792164324355bc54668032488e66",2,2,"beans",1,1,0.65,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,5,5,0,40000,0.65
"7c9c792164324355bc54668032488e66",2,1,"soya beans",1,1,0.6,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,16,8,0,150000,0.6
"7c9c792164324355bc54668032488e66",1,1,"millet",1,1,2.1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,3,3,0,15000,2.1
"7ca617a1e1204310b23a1c4707adf3f8",1,1,"SORGHUM",2,2,,2,,1,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,2
"7ca617a1e1204310b23a1c4707adf3f8",2,1,"MAIZE",2,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1.5
"7ca617a1e1204310b23a1c4707adf3f8",2,2,"SORGHUM",2,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1.5
"7cad5e509f2d404d912f9e74e327fbb5",1,1,"Beans",2,2,,1,2,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"7cb66aeeb60e4ee49698c72777425cb2",2,1,"MATOOKE AND COFFEE",1,1,0.38,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.38
"7cb66aeeb60e4ee49698c72777425cb2",2,3,"COWPEAS",1,1,0.12,2,,2,3,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.12
"7cb66aeeb60e4ee49698c72777425cb2",1,2,"CASSAVA",1,2,,2,,2,3,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"7cb66aeeb60e4ee49698c72777425cb2",2,2,"BEANS",1,1,0.15,2,,2,3,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.15
