"hhid","LiveStockID","s6aq01","s6aq03a","s6aq03b","s6aq03c","s6aq03d","s6aq03e","s6aq03f","s6aq04a","s6aq04b","s6aq04c","s6aq06","s6aq07","s6aq08","s6aq09","s6aq10","s6aq11","s6aq12","s6aq13a","s6aq13b","s6aq14a","s6aq14b","s6aq15","s6aq15b","s6aq15c","s6aq16"
"04b011de772e4ce08e33e461bb1741eb",5,1,108,1,2,1,2,2,0,,,218,5,0,0,0,0,60,5,2000000,60,2000000,0,1,2,2
"04b011de772e4ce08e33e461bb1741eb",1,1,30,1,2,1,2,2,0,,,20,10,0,0,0,0,0,0,,0,,0,1,6,2
"04b011de772e4ce08e33e461bb1741eb",10,1,133,1,2,1,2,2,0,,,233,0,0,0,0,0,0,0,,100,700000,0,1,2,2
"04ee28189feb42c6a75acb852661aef1",9,1,1,1,,1,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,5,6,1
"051abf68db894b34a1ecfa22bd2a2509",9,1,2,1,2,2,1,2,0,,,0,2,0,0,0,0,0,0,,0,,0,6,4,1
"051abf68db894b34a1ecfa22bd2a2509",10,1,7,1,2,1,2,2,0,,,6,2,0,0,0,0,0,0,,1,850000,0,6,1,1
"051abf68db894b34a1ecfa22bd2a2509",6,1,1,1,2,1,2,2,0,,,0,1,0,0,0,0,0,0,,0,,0,6,2,1
"052f8d3f81c3477aa9366a24c54ddf83",9,1,1,1,3,1,3,2,0,,,0,0,0,0,0,0,0,1,400000,0,,0,1,2,1
"052f8d3f81c3477aa9366a24c54ddf83",7,1,2,1,3,1,3,2,0,,,2,0,0,0,0,0,0,2,900000,2,110000,0,1,8,1
"05cef9765f92473eb465b6dc4fac72a4",10,1,1,1,,3,5,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,5,1
"05cef9765f92473eb465b6dc4fac72a4",7,1,2,1,,3,1,2,0,,,2,0,0,0,0,0,0,1,600000,1,1000000,0,1,5,2
"0602eb95ac184ad3aa8fdba309f3f946",7,1,0,,,,,,0,,,1,0,0,0,0,0,0,0,,1,1000000,0,1,,1
"0602eb95ac184ad3aa8fdba309f3f946",6,1,4,1,2,1,2,2,0,,,0,4,0,0,0,0,0,0,,0,,0,2,1,1
"0602eb95ac184ad3aa8fdba309f3f946",10,1,8,1,2,1,2,2,0,,,4,4,0,0,0,0,0,0,,0,,0,2,1,1
"06122c47fee6432f8b973b9ea525fe57",10,1,1,5,,2,5,2,0,,,0,0,1,0,0,0,0,0,,0,,0,6,,1
"067f809da4ef44c8ab7ff3a16ee31672",7,1,1,1,2,1,2,2,0,,,0,0,1,0,0,0,0,0,,0,,0,5,6,1
"068c76ff148d44fcbb4ab89429adcb6c",4,1,2,2,,3,,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,2
"068c76ff148d44fcbb4ab89429adcb6c",6,1,6,3,,3,,1,0,,,0,6,0,0,0,0,0,0,,0,,0,1,,2
"068c76ff148d44fcbb4ab89429adcb6c",7,1,5,2,,3,,1,0,,,5,0,0,0,0,0,0,0,,0,,0,1,9,2
"068c76ff148d44fcbb4ab89429adcb6c",5,1,2,2,,3,,2,0,,,1,0,0,0,0,0,0,1,600000,0,,0,1,2,1
"068c76ff148d44fcbb4ab89429adcb6c",10,1,10,2,,3,,1,0,,,12,0,0,0,0,0,0,0,,2,500000,0,1,2,1
"06a5f788e6b248dfa229a7cd68fcf706",7,1,0,,,,,,3,2,,0,0,0,0,0,0,0,0,,0,,0,1,,2
"06a5f788e6b248dfa229a7cd68fcf706",10,1,0,,,,,,18,2,,1,0,0,0,0,1,0,0,,0,,0,1,,2
"06a5f788e6b248dfa229a7cd68fcf706",9,1,0,,,,,,5,2,,0,0,0,0,0,0,0,0,,0,,0,1,,2
"06a5f788e6b248dfa229a7cd68fcf706",6,1,1,1,2,2,,2,15,2,,0,1,0,0,0,0,0,0,,0,,0,1,,2
"06b36c2c9668465ead2665345a45355a",7,1,1,3,,2,3,2,0,,,2,0,0,1,0,0,0,0,,0,,0,1,,1
"072bede7173b42a9b15f6d873387591a",10,1,1,1,2,2,1,2,0,,,1,0,0,0,0,0,0,0,,0,,0,6,4,1
"072bede7173b42a9b15f6d873387591a",6,1,1,1,2,1,2,2,0,,,0,1,0,0,0,0,0,0,,0,,0,6,4,1
"07b346723489448b99ea7d75a5cd2458",2,1,1,2,,2,,1,0,,,0,0,0,0,0,0,0,1,600000,0,,0,1,,2
"07b5c28dd52642b69def9db9df074dc0",9,1,1,2,,4,5,2,0,,,0,1,0,0,0,0,0,0,,0,,0,5,2,1
"07b6c4f12d054292b7b786ef2dd45835",10,1,1,1,5,1,5,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,5,1
"082757b50eee4bc29551c3c3c30639da",1,1,20,1,2,4,5,2,0,,,0,20,0,0,0,0,0,0,,0,,0,1,6,2
"082757b50eee4bc29551c3c3c30639da",4,1,0,,,,,,0,,,0,10,0,0,0,0,0,0,,10,400000,0,1,6,2
"082757b50eee4bc29551c3c3c30639da",5,1,70,1,2,4,5,2,0,,,70,0,0,0,0,0,0,0,,0,,0,1,6,2
"082757b50eee4bc29551c3c3c30639da",2,1,10,1,2,5,4,2,0,,,10,0,0,0,0,0,0,0,,0,,0,1,6,1
"0860ea9bebf44de1ac82a1e0e866a570",10,1,1,1,,1,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,2,2
"0860ea9bebf44de1ac82a1e0e866a570",6,1,1,1,,1,,2,0,,,0,1,0,0,0,0,0,0,,0,,0,1,2,2
"089f1c1e30d94938ad4a28294030f670",7,1,5,1,,11,10,2,0,,,3,3,0,0,0,0,0,0,,1,1000000,0,1,3,2
"089f1c1e30d94938ad4a28294030f670",10,1,40,1,,11,10,2,0,,,41,0,0,0,0,0,0,0,,1,1000000,0,2,1,2
"089f1c1e30d94938ad4a28294030f670",6,1,10,1,,11,10,2,0,,,10,0,0,0,0,0,0,0,,0,,0,1,,2
"08a622bfb26f4199bde601e058ccf58d",10,1,0,,,,,,0,,,1,0,0,0,0,1,0,0,,0,,0,6,5,1
"08fecb64841f493c87c3c24f97d3b1f0",6,1,0,,,,,,0,,,0,1,0,0,0,0,1,0,,0,,0,1,,1
"08fecb64841f493c87c3c24f97d3b1f0",10,1,1,2,,2,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"090f972306904a6d8a21853b2415b8e6",7,1,15,1,,3,,1,0,,,15,0,0,0,0,0,0,0,,0,,0,6,,1
"090f972306904a6d8a21853b2415b8e6",10,1,35,1,,3,,1,0,,,35,0,0,0,0,0,0,0,,0,,0,6,,1
"090f972306904a6d8a21853b2415b8e6",6,1,22,1,,3,,1,0,,,22,0,0,0,0,0,0,0,,0,,0,6,,1
"091517b1a65147a7a3aa3b6c93500495",10,1,1,1,2,1,3,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"091517b1a65147a7a3aa3b6c93500495",7,1,1,1,2,1,3,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"091517b1a65147a7a3aa3b6c93500495",8,1,2,1,2,1,3,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,8,1
"093cbecd77b441179f3704a9d5bb4367",10,1,4,1,2,1,2,2,0,,,3,0,0,0,0,0,0,1,400000,0,,0,1,2,1
"093cbecd77b441179f3704a9d5bb4367",6,1,2,1,2,1,2,2,0,,,0,2,0,0,0,0,0,0,,0,,0,1,,2
"093cbecd77b441179f3704a9d5bb4367",7,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"09c9f51b98214abca30f1cc1accd7cb9",7,1,2,1,2,1,2,2,0,,,2,0,0,0,0,0,0,0,,0,,0,6,4,1
"09c9f51b98214abca30f1cc1accd7cb9",10,1,3,1,2,1,2,2,0,,,2,1,0,0,0,0,0,0,,0,,0,6,5,1
"0aaa3c3864af4ed5976f59eea475f982",9,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,6,1,1
"0aaa3c3864af4ed5976f59eea475f982",10,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,5,1,1
"0aaa3c3864af4ed5976f59eea475f982",6,1,1,1,2,1,4,2,0,,,0,1,0,0,0,0,0,0,,0,,0,1,6,1
"0ab0754b5398494b863f05891f237892",10,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"0b5f5af0b2464b878ac5c214e294cf3b",10,1,1,1,,2,3,1,0,,,1,0,0,0,0,0,0,0,,0,,0,2,6,1
"0b95a1e8ac1f432da2425f0e135e45c0",2,1,1,1,,1,,1,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"0b95a1e8ac1f432da2425f0e135e45c0",4,1,2,1,,1,,1,0,,,1,1,0,0,0,0,0,0,,0,,0,1,,2
"0c4a4cf0e7ea4067b33aaa955c36715f",7,1,2,1,2,1,2,2,2,1,2,2,0,0,0,0,0,0,0,,0,,0,4,6,1
"0c4a4cf0e7ea4067b33aaa955c36715f",9,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,4,6,1
"0c6412b6bb304caab71edeea852ef471",4,1,0,,,,,,0,,,1,0,0,0,0,0,0,0,,1,550000,0,1,,2
"0c6412b6bb304caab71edeea852ef471",1,1,1,1,,1,,2,0,,,0,1,0,0,0,0,0,0,,0,,0,1,2,2
"0c6412b6bb304caab71edeea852ef471",5,1,1,1,,1,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,2,1
"0ca9880b3e5a43ee9ec44c9863b2f236",6,1,2,1,,1,,2,0,,,1,1,0,0,0,0,0,0,,0,,0,1,3,1
"0ca9880b3e5a43ee9ec44c9863b2f236",10,1,3,1,,1,,2,0,,,3,0,0,0,0,0,0,0,,0,,0,2,1,1
"0ca9880b3e5a43ee9ec44c9863b2f236",9,1,1,1,,1,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"0ca9880b3e5a43ee9ec44c9863b2f236",7,1,1,1,,1,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"0cd035c06c3647fab7f198d760f73e98",7,1,1,1,,1,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,5,1
"0cd035c06c3647fab7f198d760f73e98",10,1,3,1,,1,,2,0,,,3,0,0,0,0,0,0,0,,0,,0,1,5,1
"0cd035c06c3647fab7f198d760f73e98",9,1,2,1,,1,,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,5,1
"0cd035c06c3647fab7f198d760f73e98",6,1,2,1,,1,,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,5,1
"0cfefdeb042a4b39af8af9a6a53cadba",1,1,1,1,,1,,1,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"0cfefdeb042a4b39af8af9a6a53cadba",5,1,1,1,,1,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,2,,2
